"Baby	";"Baby	";"das	";"Babys	";;;Nomen
"Vitamin	";"vitamin	";"das	";"Vitamine	";;;Nomen
"Wand	";"wall	";"die	";"Wände	";;;Nomen
"Zigarette	";"Cigarate	";"die	";"Zigaretten	";;;Nomen
"Augenblick	";"moment	";"der	";"Augenblicke	";;;Nomen
"Babysitter	";"babysitter	";"der	";"-	";;;Nomen
"Besuch	";"visit	";"der	";"Besuche	";;;Nomen
"Drucker	";"printer	";"der	";"-	";;;Nomen
"Ende	";"end	";"das	";"Enden	";;;Nomen
"Fenster	";"window	";"das	";"-	";;;Nomen
"Klasse	";"class	";"die	";"Klassen	";;;Nomen
"Licht	";"light	";"das	";"Lichter	";;;Nomen
"lust	";"desire	";"die	";"-	";;;Nomen
"Schüler	";"student	";"der		";Nomen;;;Nomen
"Tür	";"door	";"die	";"Türen	";;;Nomen
"Unterricht	";"instruction	";"der	";"Unterrichte	";;;Nomen
"Delfin	";"dolphin	";"der	";"Delfine	";;;Nomen
"Idee	";"idea	";"die	";"Ideen	";;;Nomen
"Papagei	";"parrot	";"der	";"Papageien	";;;Nomen
"Rekorder	";"rocorder	";"der	";"-	";;;Nomen
"Ski	";"ski	";"der	";"Skis	";;;Nomen
"Zeit	";"time	";"die		";Nomen;;;Nomen
"Anruf	";"call	";"der	";"Anrufe	";;;Nomen
"Chefin	";"boss	";"der	";"Chefinnen	";;;Nomen
"Mitarbeiter	";"staff	";"der	";"-	";;;Nomen
"Taube	";"Pegeon	";"die	";"Tauben	";;;Nomen
"Turm	";"tower	";"der	";"Türme	";;;Nomen
"Parkhaus	";"Parking place	";"das	";"Parkhäuser	";;;Nomen
"Notiz	";"memo	";"die	";"Notizen	";;;Nomen
"Notizzettel	";"notepad	";"der	";"-	";;;Nomen
"Nachricht	";"news	";"die	";"Nachrichten	";;;Nomen
"Kundendienst	";"service	";"der	";"Kundendienste	";;;Nomen
Antwort;Answer;die;Antworten;;;Nomen
Bahnhof;Station;der;Bahnhöfe;;;Nomen
Frage;Question;die;Fragen;;;Nomen
Klavier;Piano;das;Klaviere;;;Nomen
Lösung;Solution;die;Lösungen;;;Nomen
Mann;Man;der;Männer;;;Nomen
Mensch;human;der;Menschen;;;Nomen
Musik;music;die;-;;;Nomen
Polizist;policeman;der;Polizisten;;;Nomen
Reporterin;"Reporter	";die;Reporterinnen;;;Nomen
Sänger;singer;der;-;;;Nomen
Text;text;der;Texte;;;Nomen
Vergangenheit;past;die;;;;Nomen
Verkäufer;salesman;der;-;;;Nomen
Wort;word;das;Wörter;;;Nomen
Zukunft;future;die;;;;Nomen
Auto;auto;das;Autos;;;Nomen
Ball;ball;der;Bälle;;;Nomen
Automat;machine;der;Automaten;;;Nomen
Fahrkarte;ticket;die;Fahrkarten;;;Nomen
Flashe;tube;die;Flashen;;;Nomen
Geld;money;das;;;;Nomen
Gepäck;luggage;das;;;;Nomen
Kaffee;coffee;der;Kaffes;;;Nomen
Kind;child;das;Kinder;;;Nomen
Koffer;suitcase;der;-;;;Nomen
Krankenwagen;ambulance;der;-;;;Nomen
Mutter;mother;die;Mütter;;;Nomen
Nummer;number;die;Nummern;;;Nomen
Polizeiauto;police van;das;Polizeiautos;;;Nomen
Radio;radio;das;Radios;;;Nomen
Sohn;son;der;Söhne;;;Nomen
Tasche;bag;die;Taschen;;;Nomen
Tee;tee;der;Tees;;;Nomen
Telefongespräch;"phone call			";das;Telefongespräche;;;Nomen
Tochter;daughter;die;Töchter;;;Nomen
Unfall;accident;der;Unfälle;;;Nomen
Würstchen;sausage;das;;;;Nomen
Autonummer;car number;die;Autonummern;;;Nomen
Betonung;emphasis;die;Betonungen;;;Nomen
Bruder;brother;der;Brüder;;;Nomen
Eltern;parents;;;;;Nomen
Familie;family;die;Familien;;;Nomen
Familienname;family name;der;Familiennanamen;;;Nomen
Geschwister;sibling;;;;;Nomen
Grosseltern;grandparents;;;;;Nomen
Grossmutter;grandma;die;Grossmütter;;;Nomen
Grossvater;grandpa;der;Grossväter;;;Nomen
Hund;dog;der;Hunde;;;Nomen
Jahr;year;das;Jahre;;;Nomen
Lehrer;teacher;der;-;;;Nomen
Polizei;police;die;;;;Nomen
Schwester;sister;die;Schwestern;;;Nomen
Vater;father;der;Väter;;;Nomen
Zahl;number;die;Zahlen;;;Nomen
Umlaut;..;der;Umlaute;;;Nomen
Ausdruck;expression;der;Aüsdrucke;;;Nomen
Aussage;statement;die;Aussagen;;;Nomen
Buchstabe;letter, alphabet;der;Buchstaben;;;Nomen
Absender;sender;der;-;;;Nomen
Adresse;address;die;Adressen;;;Nomen
Ansichtskarte;picture post card;die;Ansichtskarte;;;Nomen
Bild;picture, photo;das;Bilder;;;Nomen
Briefmarke;stamp;die;Briefmarken;;;Nomen
Brille;glasses;die;Brillen;;;Nomen
Buch;book;das;Bücher;;;Nomen
Datum;date;das;Daten;;;Nomen
Dienstag;Tuesday;der;Dienstage;;;Nomen
Donnerstag;Thursday;der;Donnerstage;;;Nomen
Empfänger;Addressee, audiance;der;-;;;Nomen
Freitag;Friday;der;Freitage;;;Nomen
Gruss;Greeting;der;Grüsse;;;Nomen
Heft;Booklet;das;Hefte;;;Nomen
Karte;card;die;Karten;;;Nomen
Kugelschreiber;ballpen;der;-;;;Nomen
Leute;people;;;;;Nomen
Mittwoch;Wedensday;der;;;;Nomen
Montag;Monday;der;Montage;;;Nomen
Ort;Place;der;Orte;;;Nomen
Postleitzahl;Post code;die;Postleitzahlen;;;Nomen
Samstag;Saturday;der;Samstage;;;Nomen
Stadt;town;die;Städte;;;Nomen
Unterschrift;Signature;die;Unterschriften;;;Nomen
Wetter;weather;das;;;;Nomen
Wochentag;weekday;der;Wochentage;;;Nomen
Zettel;chit, label;der;-;;;Nomen
Übung;Exercise;die;Übungen;;;Nomen
Nomen;Noun;das;-;;;Nomen
Beruf;job;der;Berufe;;;Nomen
Campingplatz;camping ground;der;Campingplätze;;;Nomen
Computerspiel;computergame;das;Computerspiele;;;Nomen
Freund;Friend;der;Freunde;;;Nomen
Handy;cellphone;das;Handys;;;Nomen
Hobby;Hobby;das;Hobbys;;;Nomen
Jacke;Coat;die;Jacken;;;Nomen
Katze;Cat;die;Katzen;;;Nomen
Lehrer;Teacher;der;-;;;Nomen
Lehrerin;Teacher;die;Lehrerinnen;;;Nomen
Mathematiklehrer;Maths teacher;der;-;;;Nomen
Minute;Minute;die;Minuten;;;Nomen
Mobiltelefon;Mobile telephone;das;Mobiltelefone;;;Nomen
Problem;Problem;das;Probleme;;;Nomen
Pullover;pullover;der;-;;;Nomen
Rucksack;backpack;der;Rucksäcke;;;Nomen
Schlafsack;sleeping bag;der;Schlafsäcke;;;Nomen
Schuh;shoe;der;Schuhe;;;Nomen
Spiel;game;das;Spiele;;;Nomen
Sportlehrerin;sport teacher;die;Sportlehrerinnen;;;Nomen
Studne;hour;die;Stunden;;;Nomen
Zelt;tent;das;Zelte;;;Nomen
nass;wet;;;;;Nomen
Alkohol;alcohol;der;;;;Nomen
Ballon;Balloon;der;Ballons;;;Nomen
Bart;beard;der;Bärte;;;Nomen
Beispiel;example;das;Beispiele;;;Nomen
Bier;beer;das;Biere;;;Nomen
Frisör;barber;der;Frisöre;;;Nomen
Gesicht;face;das;Gesichter;;;Nomen
Haar;hair;das;Haare;;;Nomen
Krankenschwester;nurse;die;Krankenschwestern;;;Nomen
Lied;song;das;Lieder;;;Nomen
Luftballon;aerostat, ballon;der;Luftballons;;;Nomen
Mineralwasser;mineral water;das;;;;Nomen
Rad;wheel;das;Räder;;;Nomen
"Rekorder	";recorder;der;Rekorde;;;Nomen
Sekunde;second;das;Sekunden;;;Nomen
SMS;sms;die;-;;;Nomen
Sortie;kind, type;die;Sorten;;;Nomen
Wasser;water;das;;;;Nomen
weinen;crying;der;Weine;;;Nomen
Weltrekord;world record;der;Weltrekorde;;;Nomen
Zeichnung;drawing;die;Zeichnungen;;;Nomen
Gesundheit;health;die;;;;Nomen
Angebot;offer;das;Angebote;;;Nomen
Apfel;apple;der;Äpfel;;;Nomen
Banane;banana;die;Bananen;;;Nomen
Brot;bread;das;Brote;;;Nomen
Cent;cent;der;;;;Nomen
Durchsage;announcement;die;Durchsagen;;;Nomen
Euro;euro;der;;;;Nomen
Freundin;friend;die;Freundinnen;;;Nomen
Geburtstag;birthday;der;Geburtstage;;;Nomen
Gramm;gram;das;;;;Nomen
Kandidat;candidate;der;Kandidaten;;;Nomen
Karotte;carrot;die;Karotten;;;Nomen
Kartoffel;potatoes;die;Kartoffeln;;;Nomen
Kaufhaus;department store;das;Kaufhäuser;;;Nomen
Kilo;Kilo;das;Kilos;;;Nomen
Kilogram;kg;das;;;;Nomen
